Restitution,Etape,Principe,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,source_sheet,source_file,Source,Deal-Breaker (Oui/Non),Commentaires ,Paramètre
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,transparence (P_T) ,1. modalités d'accès à l'information ,Degré 3,"(1) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf (2) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf (3) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].","Les informations sont publiées en anglais et en russe, sur les sites des gouvernements Suisses et Etatsuniens (1) (2), ainsi que sur le site du gouvernement Kazakh. (3). ",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,transparence (P_T) ,2. usabilité de l'information.,Degré 3,"Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf","Les informations ne sont pas facilement accessibles, car la restitution est plus ou moins vieille. Il ‘y a pas de site ou rapport permettant de bien comprendre les modalités et le contenu du MOU (Memorandum of Understanding). ",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,transparence (P_T) ,"3. temporalité, fréquence et actualisation des informations publiées",Degré 3,"(1) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf (2) Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",Le MOU est publié le lendemain des négociations.,Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,redevabilité (P_R),4. planification et formalisation du processus de restitution,Degré 3,"(1) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf (2) IREX, & Save the Children. (2015). (2) The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf",a) Objectifs finaux et intermédiaires : Les objectifs finaux sont clairement définis à un niveau général (utilisation d'environ 84 millions de dollars américains au profit des enfants et des jeunes pauvres du Kazakhstan dans le cadre du programme BOTA). Des objectifs parallèles sont des réformes de la gouvernance via plusieurs initiatives. Les objectifs intermédiaires sont définis de manière procédurale : Création de la Fondation BOTA ; Sélection du Conseil de surveillance ; Nomination du responsable du programme ; Adoption du manuel opérationnel ; Rapports semestriels ; Audits annuels ; Rapports d'avancement PFMR et ITIE. b) Les modalités d'évaluation et suivi sont inclus dans les objectifs finaux et intermédiaires. ,,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,redevabilité (P_R),5. tracabilité financière de la restitution,Degré 3,"(1) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf (2) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf","A travers la fondation BOTA, les fonds sont restitués séparément des budget des Etats.",,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,redevabilité (P_R),6. répartition des rôles ,Degré 3,"Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf","a) Les roles des autorités gouvernementales sont définis dans le MOU : Les États-Unis engage la procédure de confiscation, approuve les déblocages et peut suspendre ; la Suisse détient les fonds bloqués, co-approuve les déblocages ; Le Kazakhstan coopère, finance les frais de la Banque mondiale, participe au PFMR/EITI ; La Banque mondiale supervise, contrôle la conformité, prépare les manuels ; La Fondation BOTA met en œuvre le programme ; Les responsable du programme (IREX et Save the Children) seront en charge de la gestion opérationnelle ; LeConseil de surveillance : contrôle de la gouvernance. Le MOU empêche explicitement l’interférence du gouvernement du Kazakhstan avec la Fondation BOTA. b) les étapes auxuelles interviennent les autorités sont définies. c)  les points de contacts sont définis à l'article 7. Les États-Unis = Sous-procureur général adjoint (Division pénale); Suisse  = Chef de la Division de la coopération économique et du développement (SECO) ; Kazakhstan = Premier ministre.",,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,redevabilité (P_R),7. responsabilité et recours ,Degré 3,"Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf","Dans le MOU, une réponse aux irrégularités est prévue : la Banque mondiale informe les parties, les parties décident des mesures correctives. Le cas échéant, les gouvernements peuvent demander le remboursement des fonds et le Kazakhstan doit redéposer les fonds si cela est justifié. Des clauses de suspension du transfert en cas d'irrégularités existent également. Le versement des tranches est subordonné à une mise en œuvre satisfaisante. Les États-Unis et la Suisse peuvent s'opposer à tout nouveau versement, et une résiliation possible en cas d’irrégularités. Il n’y a pas de mention des principes GAFAR  ni donc de clauses associées, mais des clauses équivalentes existent",,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,inclusivité (P_I),8. niveau de détail de l’information publiée,Degré 3,"(1) IREX, & Save the Children. (2015). The BOTA Foundation: Final Summative Report. IREX. https://www.irex.org/sites/default/files/node/resource/bota-foundation-final-report.pdf (2) Memorandum of Understanding, (2007). https://2009-2017.state.gov/documents/organization/108887.pdf","Beaucoup d'informations accessibles sur internet à ce sujet sur les éléments de l’affaire (1) Le cadre juridique applicable est clairement défini, la procédure civile américaine de confiscation ; la stipulation et l'ordonnance (annexe I) ; le traité d'entraide judiciaire (MLAT) ; l'ordonnance de gel suisse ; la loi américaine sur la confiscation (18 U.S.C. § 982), l’ordonnance définitive du tribunal.  Les fonds restent gelés chez Pictet & Cie (Suisse) jusqu'à : l'approbation du tribunal ; la mise en place des programmes requis et la satisfaction de toutes les parties (2). Les modalités de partage et les dépenses sont publiées dans le mémorandum (2). Le calendrier de la restitution est clairement défini, ainsi que les modalités de la création de la Fondation BOTA. La choix et la justification de l'affectation finale des fonds est justifier par un besoin de la population. Les modalités de suivi et d'évaluation sont clairement définis : audits, surveillance par la Banque Mondiale, rapports d'enquêtes, et mécanisme de retour prévu en cas de mauvaise utilisation (2).",,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,inclusivité (P_I),9. capacité d’action : actualisation des informations ,Degré 2,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].",La publication pendant la période des négociations n’était pas très régulière. Bornstein a souligné la difficulté de faire une publication totalement transparence car c’est un processus très politique. ,,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
Fondation BOTA : Kazakhstan_Etats-Unis_Suiss,E1,inclusivité (P_I),10. modalités de participation ,Degré 3,"Bornstein, A. (2026, February 4). The case of the BOTA Foundation for asset restitution analysis (R. van der Bruggen & S. Brimbeuf, Interviewers) [Personal communication].","Bornstein a précisé que là ou les OSC ont été inlues dans la rédaction de la charte de la Fondation et de son fonctionnement, elles n’ont pas fait partie à part entière des négociations qui ont permis de décider des programmes récipiendaires (CCT, TAP, SSP), ni que qui seraient responsable de la gouvernance des fonds (la fondation BOTA). ((1) p.7-8) Donc, les OSC ont effectivement été intégrées à une partie de la phase des négociations, avec la Banque Mondiale, en participant à la rédaction de la charte de la fondation, et comment elle opérait (p.11).",,,Etape 1,SANS déf_bota_codification (V3 C) copy.xlsx,,,,
